Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,384.5,389.0,382.5,385.5,377.35009765625,45684455
2022-10-28,379.5,382.0,375.0,379.5,371.4770202636719,40184472
2022-10-31,386.0,390.0,381.0,390.0,381.7550354003906,38409054
2022-11-01,388.5,393.0,386.0,391.5,383.2232666015625,41426496
2022-11-02,391.0,395.0,388.5,395.0,386.6492919921875,22535650
2022-11-03,385.0,387.0,383.5,384.0,375.8818664550781,39731333
2022-11-04,381.0,384.5,378.5,382.0,373.92413330078125,28397417
2022-11-07,390.0,393.0,387.0,390.0,381.7550354003906,35387706
2022-11-08,395.0,399.5,394.0,399.0,390.5647277832031,31838223
2022-11-09,403.5,417.0,403.5,417.0,408.1841735839844,52260831
2022-11-10,409.0,411.5,406.0,407.5,398.88507080078125,32044942
2022-11-11,441.5,442.0,435.0,441.5,432.1662292480469,80016195
2022-11-14,450.0,450.0,441.5,445.0,435.59222412109375,61933190
2022-11-15,465.0,487.0,462.0,480.0,469.852294921875,113379796
2022-11-16,491.5,494.0,481.5,487.0,476.7043151855469,85726375
2022-11-17,482.5,485.0,475.0,485.0,474.7466125488281,45144984
2022-11-18,491.5,494.0,486.0,487.0,476.7043151855469,35859717
2022-11-21,487.5,489.5,480.5,482.0,471.8100280761719,29710180
2022-11-22,476.0,491.0,476.0,491.0,480.6197509765625,37343127
2022-11-23,494.5,496.0,488.5,492.0,481.5986328125,33475337
2022-11-24,494.0,496.0,492.0,496.0,485.5140686035156,27396552
2022-11-25,494.0,498.0,494.0,498.0,487.4717712402344,39949969
2022-11-28,486.0,490.0,480.5,480.5,470.3417053222656,38926919
2022-11-29,473.5,488.0,473.0,487.0,476.7043151855469,38182197
2022-11-30,483.0,490.0,482.5,490.0,479.64093017578125,57111603
2022-12-01,506.0,508.0,498.5,498.5,487.96124267578125,41746878
2022-12-02,490.0,497.0,490.0,492.5,482.0880432128906,28319679
2022-12-05,491.5,497.5,489.0,489.0,478.66204833984375,28360444
2022-12-06,488.0,489.0,478.0,478.0,467.89459228515625,40561068
2022-12-07,477.0,485.5,475.0,475.0,464.9580383300781,36563503
2022-12-08,475.0,475.0,467.0,471.5,461.5320129394531,27238567
2022-12-09,478.0,484.5,476.0,481.5,471.3205871582031,25915337
2022-12-12,476.5,478.0,473.5,475.0,464.9580383300781,20973334
2022-12-13,473.0,476.0,471.0,471.5,461.5320129394531,33272826
2022-12-14,472.0,480.5,472.0,480.5,470.3417053222656,30636639
2022-12-15,476.0,481.5,474.5,480.5,473.049072265625,24222008
2022-12-16,466.5,471.0,465.5,471.0,463.6964111328125,47601400
2022-12-19,466.5,469.5,465.0,466.5,459.26617431640625,21075559
2022-12-20,465.0,467.0,455.0,457.5,450.4057312011719,31139235
2022-12-21,460.0,463.0,457.0,459.0,451.88250732421875,36182644
2022-12-22,466.5,469.0,464.0,468.0,460.742919921875,14047382
2022-12-23,457.5,458.5,455.0,455.0,447.9444885253906,24927413
2022-12-26,454.0,457.0,453.5,456.5,449.4212341308594,8793306
2022-12-27,458.0,462.5,457.0,457.0,449.9134826660156,10264001
2022-12-28,451.0,452.0,446.0,451.0,444.00653076171875,32578949
2022-12-29,444.0,449.5,442.5,446.0,439.08404541015625,23020759
2022-12-30,455.0,456.5,448.5,448.5,441.5452880859375,21683478
2023-01-03,446.0,453.5,443.0,453.0,445.97552490234375,14885824
2023-01-04,449.5,455.0,448.5,449.5,442.5298156738281,19188422
2023-01-05,459.0,459.5,455.0,458.5,451.3902282714844,23549581
2023-01-06,455.0,459.5,455.0,458.5,451.3902282714844,20886011
2023-01-09,468.0,481.0,467.5,481.0,473.54132080078125,46666263
2023-01-10,486.0,487.0,483.0,486.0,478.46380615234375,32646014
2023-01-11,487.0,488.0,482.0,484.5,476.987060546875,21051115
2023-01-12,487.5,488.0,484.0,486.5,478.9560241699219,20963689
2023-01-13,507.0,509.0,499.0,500.0,492.2467346191406,77606949
2023-01-16,506.0,508.0,503.0,505.0,497.1691589355469,34373918
2023-01-17,504.0,504.0,499.5,503.0,495.2001953125,27770329
2023-01-30,542.0,543.0,534.0,543.0,534.5799560546875,124428936
2023-01-31,537.0,538.0,521.0,522.0,513.9055786132812,72530854
2023-02-01,532.0,533.0,522.0,530.0,521.781494140625,33710990
2023-02-02,538.0,542.0,537.0,540.0,531.62646484375,43077053
2023-02-03,540.0,542.0,536.0,542.0,533.595458984375,31635865
2023-02-06,532.0,533.0,526.0,526.0,517.8435668945312,30870136
2023-02-07,524.0,528.0,522.0,523.0,514.8900756835938,23481767
2023-02-08,538.0,540.0,534.0,540.0,531.62646484375,35096191
2023-02-09,540.0,540.0,536.0,540.0,531.62646484375,18861972
2023-02-10,544.0,546.0,541.0,545.0,536.5489501953125,28495684
2023-02-13,544.0,544.0,538.0,541.0,532.6109619140625,22768977
2023-02-14,544.0,546.0,543.0,545.0,536.5489501953125,21883297
2023-02-15,526.0,532.0,522.0,525.0,516.8590698242188,61796793
2023-02-16,528.0,531.0,524.0,528.0,519.8125,29975138
2023-02-17,524.0,524.0,516.0,518.0,509.9676208496094,28121975
2023-02-20,514.0,519.0,511.0,517.0,508.9830627441406,20065156
2023-02-21,515.0,517.0,513.0,516.0,507.9985656738281,13504100
2023-02-22,506.0,509.0,505.0,507.0,499.1381530761719,24575245
2023-02-23,512.0,521.0,510.0,518.0,509.9676208496094,25376835
2023-02-24,524.0,525.0,511.0,511.0,503.0761413574219,41692491
2023-03-01,504.0,522.0,504.0,522.0,513.9055786132812,39560848
2023-03-02,519.0,520.0,515.0,519.0,510.9521179199219,16558784
2023-03-03,524.0,525.0,516.0,516.0,507.9985656738281,23253895
2023-03-06,520.0,524.0,517.0,521.0,512.9210815429688,21922085
2023-03-07,521.0,526.0,519.0,524.0,515.8745727539062,24861078
2023-03-08,521.0,523.0,518.0,521.0,512.9210815429688,24512408
2023-03-09,525.0,526.0,522.0,522.0,513.9055786132812,21557577
2023-03-10,515.0,516.0,511.0,513.0,505.0451354980469,24045605
2023-03-13,513.0,518.0,509.0,516.0,507.9985656738281,21466947
2023-03-14,511.0,514.0,510.0,510.0,502.0916748046875,20474770
2023-03-15,515.0,516.0,510.0,511.0,503.0761413574219,23208597
2023-03-16,505.0,510.0,504.0,505.0,499.8590393066406,21965994
2023-03-17,516.0,518.0,513.0,518.0,512.7266845703125,33118483
2023-03-20,517.0,518.0,510.0,512.0,506.78778076171875,11837312
2023-03-21,515.0,517.0,512.0,517.0,511.7368469238281,18284799
2023-03-22,524.0,533.0,524.0,533.0,527.573974609375,42385987
2023-03-23,528.0,539.0,528.0,538.0,532.5231323242188,26728246
2023-03-24,536.0,539.0,535.0,539.0,533.5128784179688,21926240
2023-03-27,533.0,536.0,531.0,531.0,525.5943603515625,16111177
2023-03-28,525.0,530.0,524.0,525.0,519.6553955078125,17234120
2023-03-29,533.0,533.0,525.0,530.0,524.6044921875,17280749
2023-03-30,536.0,537.0,531.0,535.0,529.5536499023438,19201564
2023-03-31,538.0,538.0,532.0,533.0,527.573974609375,23558838
2023-04-06,530.0,531.0,526.0,530.0,524.6044921875,25423363
2023-04-07,535.0,535.0,529.0,531.0,525.5943603515625,8557482
2023-04-10,533.0,533.0,528.0,529.0,523.6146850585938,7435151
2023-04-11,522.0,527.0,522.0,524.0,518.6656494140625,22675697
2023-04-12,523.0,524.0,517.0,520.0,514.706298828125,23816473
2023-04-13,515.0,517.0,510.0,510.0,504.80810546875,25536889
2023-04-14,516.0,520.0,513.0,516.0,510.7470703125,18072504
2023-04-17,519.0,520.0,514.0,520.0,514.706298828125,14634287
2023-04-18,518.0,520.0,514.0,515.0,509.7572326660156,15168888
2023-04-19,517.0,518.0,509.0,510.0,504.80810546875,21123233
2023-04-20,512.0,516.0,510.0,513.0,507.777587890625,17221961
2023-04-21,520.0,520.0,510.0,511.0,505.7979431152344,25016683
2023-04-24,505.0,510.0,504.0,507.0,501.83868408203125,16886512
2023-04-25,504.0,505.0,498.0,498.0,492.9302978515625,36898412
2023-04-26,498.0,498.5,491.0,491.5,486.4964599609375,31269245
2023-04-27,491.0,495.0,489.0,493.5,488.4761047363281,29537148
2023-04-28,498.5,502.0,498.0,502.0,496.8895568847656,24824100
2023-05-02,500.0,502.0,496.5,501.0,495.8997497558594,15325791
2023-05-03,496.0,498.0,495.0,496.0,490.9506530761719,11369311
2023-05-04,497.0,499.5,496.0,498.0,492.9302978515625,13140291
2023-05-05,500.0,502.0,498.5,500.0,494.9099426269531,7488897
2023-05-08,509.0,509.0,502.0,504.0,498.86920166015625,11243634
2023-05-09,507.0,510.0,505.0,510.0,504.80810546875,16197743
2023-05-10,508.0,508.0,500.0,503.0,497.87939453125,18859212
2023-05-11,506.0,506.0,498.5,499.0,493.92010498046875,13382927
2023-05-12,496.0,500.0,495.0,496.0,490.9506530761719,18465362
2023-05-15,497.0,499.5,494.5,495.5,490.45574951171875,13315766
2023-05-16,503.0,508.0,500.0,505.0,499.8590393066406,21140315
2023-05-17,508.0,521.0,506.0,519.0,513.7164916992188,41406763
2023-05-18,533.0,536.0,526.0,530.0,524.6044921875,43096277
2023-05-19,535.0,535.0,529.0,532.0,526.5841674804688,32099068
2023-05-22,532.0,533.0,529.0,531.0,525.5943603515625,17208135
2023-05-23,530.0,531.0,525.0,530.0,524.6044921875,19588873
2023-05-24,527.0,528.0,524.0,525.0,519.6553955078125,19086681
2023-05-25,542.0,545.0,537.0,543.0,537.47216796875,63827245
2023-05-26,568.0,568.0,563.0,566.0,560.238037109375,95808471
2023-05-29,574.0,574.0,564.0,568.0,562.2177124023438,54657853
2023-05-30,566.0,568.0,563.0,566.0,560.238037109375,40136130
2023-05-31,560.0,562.0,551.0,558.0,552.3194580078125,81176782
2023-06-01,550.0,554.0,550.0,551.0,545.3907470703125,24477529
2023-06-02,559.0,564.0,557.0,562.0,556.2787475585938,30206141
2023-06-05,560.0,560.0,555.0,555.0,549.3499755859375,16827391
2023-06-06,554.0,562.0,553.0,560.0,554.2991333007812,20228086
2023-06-07,561.0,568.0,560.0,568.0,562.2177124023438,27604813
2023-06-08,562.0,568.0,555.0,559.0,553.309326171875,23080195
2023-06-09,561.0,566.0,561.0,565.0,559.2482299804688,19091713
2023-06-12,574.0,574.0,571.0,574.0,568.1566162109375,26392389
2023-06-13,593.0,594.0,589.0,593.0,586.9631958007812,56174363
2023-06-14,590.0,591.0,587.0,590.0,583.9937133789062,23583314
2023-06-15,590.0,593.0,587.0,591.0,587.7227783203125,27392154
2023-06-16,590.0,590.0,584.0,589.0,585.7338256835938,38128802
2023-06-19,583.0,585.0,582.0,583.0,579.76708984375,14346885
2023-06-20,579.0,585.0,579.0,583.0,579.76708984375,16221413
2023-06-21,582.0,585.0,578.0,581.0,577.7781982421875,21703937
2023-06-26,576.0,578.0,574.0,574.0,570.8170166015625,27142262
2023-06-27,570.0,575.0,569.0,572.0,568.828125,21501718
2023-06-28,579.0,579.0,571.0,574.0,570.8170166015625,18175426
2023-06-29,578.0,580.0,570.0,573.0,569.8225708007812,16937929
2023-06-30,570.0,576.0,568.0,576.0,572.805908203125,22654976
2023-07-03,578.0,580.0,576.0,579.0,575.789306640625,14785585
2023-07-04,585.0,585.0,580.0,585.0,581.7560424804688,17219541
2023-07-05,589.0,589.0,579.0,582.0,578.7726440429688,14913592
2023-07-06,573.0,574.0,565.0,565.0,561.866943359375,28564891
